s#,c#,grade
14079954,ME-55,71.0
25729323,FL-69,91.6
16579324,LF-36,82.8
44427013,AT-20,99.0
19401715,DA-07,71.7
22347571,CS-12,89.9
29312638,CE-14,68.5
35235382,PH-14,83.1
19461421,ME-36,73.9
39666781,LW-14,65.2
42373636,AT-09,71.7
38607654,FL-84,84.8
19158215,MV-44,76.0
45606813,OE-16,68.9
28277227,DA-36,90.3
45988816,DA-65,66.4
41653438,HS-16
16533086,FL-43,87.0
12573303,FL-22,71.5
13035584,AT-29,95.1
11058734,MV-73,79.1
17800653,MT-32,70.1
14906728,LF-03,71.5
16973426,DA-23,78.0
27184670,EE-92,80.2
35680930,MV-24,81.6
45623235,DA-41,93.4
41955722,IE-07,97.6
33587904,LF-22,81.3
27541091,AS-02,69.5
12666914,MV-54,67.1
20371108,MV-44,91.3
22697384,HS-01,75.7
30783157,HS-30,78.5
42908967,DA-52,89.3
40360847,CE-23,80.8
28671174,HS-17,88.5
33388761,LF-33,79.6
31669607,HS-13,74.4
27483221,ME-03,92.6
38927240,FL-69,79.4
43663577,AS-39,86.6
22164320,MA-08,87.3
47322212,ME-06,82.9
24069452,EE-39,83.3
32491197,DA-12,75.4
47973444,CE-04,87.3
35028106,CE-15,66.7
38792112,MA-15,58.8
28717510,MT-01,96.6
38597890,MV-56,80.6
12135425,EE-82,88.4
12971397,CS-19,85.5
43735335,EM-05,72.0
21326232,DA-29,69.2
46938548,EM-50,68.6
44675874,AT-35,71.9
41642902,AS-15,88.1
42147688,CE-38,82.9
28520354,MT-18,89.6
17684308,OE-13,70.3
26168331,AT-39,77.7
19011713,OE-29,63.5
49223464,ME-14,92.4
43318295,LW-02,72.9
30911553,DA-53,87.8
30440810,FL-69,70.9
29813173,MA-17,92.8
18135260,EE-86,66.1
45223088,AT-01,87.1
23532446,MV-58,64.4
23719453,MV-12,99.2
13629467,OE-28,54.9
46538706,MV-33,92.0
17162573,FL-16,59.9
22288654,EE-84,83.7
12725498,ME-06,64.5
37338709,AS-41,73.7
21243426,DA-09,93.1
17656128,CS-38,93.6
20046362,FL-07,90.0
37702388,MX-05,99.0
48812889,OE-14,89.0
34436774,MV-42,85.0
30550908,MA-03,88.9
46102612,OE-17,65.8
45303849,OE-05,89.4
19634409,MV-19,67.7
21696510,MA-11,87.4
30136423,ME-16,70.0
48740069,FL-38,77.8
43013932,EE-84,78.8
39721405,MA-15,94.9
28335317,MV-36,85.6
39021936,OE-30,65.3
23870188,DA-34,84.1
20506453,FL-32,83.5
38048054,LW-12,78.2
42450272,DA-51,71.5
28628234,EM-50,60.0
20024352,DA-52,90.7
36250926,MA-05,91.9
10771349,MV-51,95.1
15835491,CS-56,84.7
49919677,CE-38,84.0
21955519,FL-91,84.7
20987211,OE-26,85.3
43566064,CS-51,64.7
19622390,AT-48,82.3
40805751,FL-54,68.3
27071704,EE-81,96.4
22868538,FL-06,87.3
34230678,MA-03,80.3
26758239,EM-53,93.6
15703903,AT-32,78.5
23905763,EM-05,86.3
47675788,EM-05,77.0
13776301,AS-16,92.7
40773227,ME-38,92.2
27321866,EE-09,82.7
41639657,FL-05,62.9
13174155,AS-22,75.6
18709267,EE-63,80.1
39103478,ME-13,78.8
46975653,FL-25,88.3
15448715,MT-36,78.4
40029099,FL-85,91.4
15256223,ME-59,87.7
29092609,LW-03,95.3
36557012,CE-01,88.4
29060933,LF-29,75.9
43574767,MV-03,66.7
47720097,AS-16,82.1
32785210,AS-16,69.4
15505604,IE-07,85.8
14177608,CS-22,91.8
45776656,EM-21,59.0
17009567,FL-30,89.0
22347571,EE-72,76.1
34176925,CS-12,87.1
48118257,MV-01,71.1
35981310,AT-25,90.6
20629415,CS-26,72.5
47973444,LF-41,84.9
24940108,MV-03,92.2
36281577,EM-21,76.6
17203281,EE-93,84.1
30909759,PH-08,88.7
15963104,MV-14,91.4
22648659,CS-52,82.8
42206792,FL-89,74.6
31359863,MT-47,85.5
12060538,EE-51,73.3
32686334,DA-33,92.2
18838690,FL-14,90.2
18879359,EM-67,83.8
29176823,ME-20,75.9
16143854,EM-41,78.4
46607647,MV-09,73.3
28970377,AS-29,69.1
24467406,CE-14,99.0
10894492,MT-23,97.9
21955519,ME-52,88.9
26453720,MT-39,98.5
23789612,LF-17,89.1
36551438,MA-14,65.1
31685994,EE-55,70.4
13318096,LF-26,84.1
31369390,FL-76,75.9
20879256,EE-19,76.8
29768518,DA-42,76.7
11962961,DA-22,68.1
46806571,LF-14,93.9
22490416,MA-06,81.2
27476442,MV-55,93.3
22952628,HS-23,63.7
21004705,FL-82,88.8
14703702,MX-03,82.2
34221469,ME-38,94.4
19529602,AT-13,50.8
48725063,AT-47,86.5
37115427,EE-11,78.2
46963437,EM-40,77.8
48683017,MV-23,87.5
49782298,CS-06,74.2
12833597,DA-16,73.4
39652399,AT-49,75.3
19331558,TL-01,80.6
40562892,EM-68,78.0
19635075,DA-12,72.0
29270761,OE-16,81.7
14842746,AT-20,79.0
35765496,FL-91,93.9
39416999,CS-50,73.2
21578766,DA-40,79.3
47069021,EM-13,73.7
44533469,AS-51,76.0
14269126,AT-05,82.0
45897813,MA-02,86.9
14678046,DA-09,87.8
10045831,CS-33,71.2
37733129,EM-13,79.1
32831344,CE-44,73.6
45207855,LF-15,72.2
47902113,MV-39,81.7
41327958,CE-34,69.9
43386143,OE-03,66.2
10854821,DA-01,75.3
46523708,PH-07,80.0
23696377,LW-07,73.5
17095800,EE-53,81.0
11020419,MV-08,91.4
11063467,FL-92,95.7
45736327,ME-50,77.4
21072365,FL-03,94.3
44004287,OE-23,92.9
40785285,CE-30,85.6
44889459,MV-22,83.9
36902535,AT-49,85.2
35411506,MT-33,67.5
40108492,ME-52,77.7
46122309,CS-24,78.1
36916644,MT-14,71.8
32787069,CS-12,71.6
48740069,ME-53,91.7
42521305,HS-13,93.2
43955884,DA-49,74.4
16494464,MT-33,90.5
19164718,MV-75,87.4
43339133,EE-70,63.5
40039510,FL-95,82.3
17289414,EE-34,66.7
10872338,FL-29,67.7
43088123,MV-83,84.9
42067590,FL-27,87.5
19129530,OE-29,82.0
43929059,MA-26,98.0
19049652,DA-37,86.5
30180239,CE-40,88.6
21475680,MT-24,82.3
20336952,EE-31,64.5
47455725,MT-50,83.0
31634023,DA-51,79.9
37901798,DA-04,80.9
17527801,EE-28,50.8
19823937,ME-64,79.3
18379972,DA-51,58.6
44155958,OE-26,89.9
25058474,FL-22,84.5
43965760,LF-25,75.9
36110146,MX-02,62.4
16977795,DA-22,99.4
41974414,AT-26,92.9
20677235,FL-47,78.1
22196129,ME-24,74.4
48705442,FL-37,81.0
32284695,ME-23,88.1
23016021,AS-53,95.6
32897005,MV-08,91.6
11384533,HS-24,84.0
10812894,AT-49,99.1
48792947,MT-33,91.1
12423157,DA-04,97.9
13225412,DA-63,74.8
43449256,ME-12,80.1
27040624,FL-82,93.3
14487822,CS-20,70.4
35357427,CE-50,53.6
30189648,EM-45,89.2
24576618,EM-27,93.1
21654066,MV-03,94.0
30641032,ME-27,93.5
33666845,EE-76,87.2
10995702,AS-33,74.3
49613711,LF-39,89.6
21686414,CE-10,83.2
35115530,MV-01,91.3
36338462,EE-68,88.7
36242889,AS-19,82.5
14715851,AS-50,92.8
38607654,AS-04,79.7
29511543,AS-04,98.9
36916644,EE-83,92.3
14203958,EM-36,91.6
43600446,MT-37,67.6
25897136,MV-12,85.8
31154271,ME-41,88.1
20360868,ME-43,76.9
31644764,FL-31,81.4
29299786,EE-20,94.0
30850562,CE-23,84.9
39384630,OE-22,58.1
36349367,DA-42,59.8
40352291,CS-14,83.0
37312453,FL-01,65.4
46255925,HS-24,80.2
39954081,EE-87,85.6
17948564,EE-27,84.0
48683017,EE-55,78.7
14906945,FL-60,99.3
14915823,EE-59,94.9
41330541,LF-28,90.8
44879303,DA-64,66.8
39198521,MT-46,95.3
48495896,HS-02,86.3
26797106,MV-19,74.1
29817699,AS-25,76.4
40051171,MT-39,87.7
20830203,ME-25,75.4
22152397,CE-34,70.6
43569058,MV-36,85.0
17966554,FL-63,63.0
26170399,MT-54,98.2
13448953,DA-38,73.3
24092742,CE-14,67.3
28854046,EM-44,94.1
38349588,FL-33,86.6
20117141,DA-31,62.6
28407881,MT-26,84.3
44917428,FL-48,76.0
24667847,CE-47,55.8
32099842,FL-60,79.7
11543081,LF-32,76.9
19242692,HS-02,85.6
44701601,PH-04,89.7
15550763,CE-19,94.7
41882671,MT-48,70.8
35235382,MA-23,74.4
15620183,MT-16,95.4
43784270,EE-32,75.5
14749747,EM-19,98.7
46701421,LF-38,70.1
32734517,MA-12,68.5
19324701,FL-28,92.6
31654192,AS-39,92.1
11331928,AS-27,87.2
20141298,PH-05,88.2
23388885,PH-03,68.3
16221562,AS-46,80.9
29260090,AT-26,90.0
49149710,MA-08,67.7
22697384,PH-02,85.7
29092609,OE-23,87.6
48121556,MV-83,86.0
23884966,DA-71,75.8
14491495,EE-76,59.8
37685269,EM-02,82.1
49230866,MV-71,71.1
41737560,MT-40,80.2
18143494,MT-52,70.2
24497818,MV-49,97.9
49058708,HS-10,70.8
25418579,OE-12,74.1
28561942,AT-15,90.8
19818972,CS-42,89.1
39723409,AS-03,69.4
10419765,LF-03,85.0
17743148,EE-96,86.0
23864400,CE-02,54.9
13301231,MA-02,81.4
16011974,MV-11,82.9
27877826,MV-70,81.2
27510670,EM-32,86.1
31426295,CS-50,80.2
36110327,DA-08,62.3
44476548,EE-83,71.4
20141298,AT-03,85.6
27538306,ME-50,82.7
34571052,MT-06,71.9
30440517,EM-36,67.4
44476548,CE-12,82.0
17663048,CS-09,54.1
42078316,MV-39,89.5
38586053,TL-03,89.9
21578766,EE-84,84.3
11168172,CS-63,87.9
17656128,ME-26,64.9
28919153,DA-09,66.8
48979414,TL-01,93.2
40232700,AS-47,82.3
26949259,HS-01,99.0
41473096,EM-42,63.4
34567392,LF-22,66.3
32945415,LW-27,71.1
14396162,CS-37
15265476,MT-30,68.5
10412394,MT-40,77.9
22395987,FL-91,71.3
47322212,LW-22,79.0
27321866,FL-66,59.8
16105377,AS-32,65.6
33007464,LW-17,96.5
30145212,AS-25,81.8
15265476,CS-29,86.9
31595297,MV-71,87.4
48239051,DA-47,81.1
35235382,AT-15,83.7
44996502,ME-25,93.6
27955921,DA-71,83.0
16493705,AT-09,62.3
24596774,DA-15,66.3
35702535,EM-17,73.6
48363301,CS-55,68.9
37491079,FL-07,74.9
10846366,CS-57,86.9
34598611,HS-29,72.7
30362712,FL-55,84.2
40360847,LF-05,83.2
34701964,MV-52,75.3
21760521,DA-39,75.5
22375962,AS-09,76.5
24010361,MV-68,83.7
23647353,HS-24,57.8
21156692,AT-28,73.3
22656615,MV-16,78.5
15505604,EM-05,76.9
44592956,ME-06,97.5
45089909,AS-10,67.9
41434312,MT-15,70.1
48633356,AT-27,83.4
27242738,AT-08,81.7
18714202,FL-72,77.7
48395740,MT-41,73.4
46579186,AS-52,81.2
24815571,EM-16,60.0
14487822,PH-03,75.7
34480233,ME-27,57.8
34677996,DA-67,86.9
40894819,EE-05,90.3
47249644,DA-22,87.7
44895333,AS-12,88.0
35855967,ME-53,83.2
31067106,LW-19,79.9
36802033,HS-15,82.2
41778689,AS-34,53.4
41430803,CS-61,80.8
22983045,MA-22,77.9
18264692,LF-39,62.2
40071046,LF-15,77.9
16497144,OE-06,69.9
25769187,OE-05,88.5
16011974,MV-57,78.8
18221337,AT-28,61.8
17948801,ME-29,78.8
30064093,OE-11,86.2
30136423,EE-54,72.8
23650504,EM-48,79.7
17967277,FL-69,94.3
42027686,MA-19,84.6
20527073,LF-10,89.6
32059513,OE-09,80.9
42278127,DA-74,65.2
35219657,DA-62,76.4
13370401,DA-25,79.1
13301231,AS-41,67.7
18257971,MV-30,83.9
34412981,MA-01,84.0
11448016,MV-20,91.5
14065201,FL-85,86.4
32342245,ME-62,82.0
26183921,LF-40,83.6
28842490,MV-19,93.5
35727737,CE-48,61.1
39943364,AS-24,58.8
19861273,LW-29,78.8
34950689,ME-32,79.4
49998255,ME-17,63.2
36339240,PH-07,62.4
23267918,FL-57,60.0
14049101,FL-53,97.3
20126324,LW-20,78.9
48714001,MT-12,83.8
48493324,FL-54,69.3
17769774,HS-22,72.1
27771440,AT-44,89.7
22698379,MV-08,83.4
32102913,CE-28,78.4
40805751,MT-31,71.2
14968820,EE-86,78.6
10011854,EE-40,82.0
35940810,FL-87,72.9
48100010,EE-61,77.0
36322518,LW-04,76.8
21890222,MT-09,95.1
21946683,EM-05,62.0
35019227,AS-50,89.0
29799883,LF-09,82.4
47317489,MV-33,84.0
13441495,MV-84,82.9
38536415,ME-07,77.5
37445482,AS-47,71.5
16396040,DA-70,76.8
38108347,MT-51,96.9
30042120,ME-16,89.5
42056879,EM-06,87.5
25934895,HS-25,93.8
27538306,EE-21,89.2
32491197,EE-29,90.1
15392110,AS-19,69.9
35929355,DA-33,83.5
13701037,AS-50,71.2
15039394,MV-09,89.6
33548783,LF-11,61.7
31901073,OE-17,95.4
40859879,LF-01,94.5
49241091,PH-04,79.1
26928871,EE-87,66.7
10995702,CS-44,91.5
15740502,EM-50,77.7
29772555,CE-25,83.2
49434193,EE-90,91.3
19553703,CE-38,85.7
19466755,MT-17,97.2
25025860,MV-84,88.1
26741796,ME-40,79.9
33475862,OE-12,89.6
21326232,LW-01,79.2
44004287,OE-18,85.4
12129157,MT-23,60.0
19779901,EE-43,89.9
47837029,CS-16,57.1
41409624,LW-13,64.2
44900623,CS-27,76.1
39335068,FL-89,64.8
10362783,AS-28,80.5
31823494,LF-03,81.1
39328434,CE-28,69.2
14838252,CS-09,72.9
11936626,EM-62,71.4
37266859,DA-61,99.4
45371921,FL-16,80.5
17427300,MT-17,82.5
40492763,AS-31,70.3
40105795,LF-44,95.5
37514666,EM-66,64.1
14012817,LF-27,79.9
18119855,FL-68,81.7
46838759,MA-01,98.2
15090896,LW-29,79.3
38543607,MV-53,76.5
22697384,MV-32,76.6
17948564,MT-36,75.8
24945087,ME-06,93.4
32723818,MV-24,69.1
17928581,LW-03,81.7
46279606,MV-12,82.2
20295688,EM-08,93.1
12798860,EE-57,66.1
30660326,LF-18,89.6
31868386,EM-32,58.9
40032135,EE-85,92.0
25082690,CS-22,97.6
45328725,LF-01,88.8
18031060,MV-32,58.3
33253561,EE-86,91.7
38043350,EE-56,78.7
31688752,FL-44,78.9
43780645,DA-28,57.4
14292829,MT-49,66.2
39547612,DA-06,77.3
35070932,PH-10,73.8
46383767,AT-08,62.5
32569088,ME-03,66.7
23412410,HS-07,83.2
40155624,MA-12,88.8
37910518,AS-03,72.8
26943947,EM-33,87.6
39689405,MT-23,75.3
29473360,HS-16,77.0
30905225,LF-01,85.9
16559487,EM-40,74.0
34085741,DA-67,70.4
25864870,MA-18,68.0
28970790,MT-41,90.8
18313505,EM-62,78.0
22634668,CE-08,87.0
38553431,EE-20,80.6
20480979,FL-56,77.3
43073750,HS-09,97.4
25427932,EE-24,83.2
39833328,AS-49,69.2
32085331,CE-25,59.3
13907104,AS-16,61.6
11549082,PH-04,73.3
13913874,LF-40,86.4
45589805,FL-16,80.4
27145590,AS-25,87.9
15740502,MV-54,73.8
24505702,PH-11,89.1
22401877,PH-15,81.0
31826542,AS-18,91.3
30111921,FL-01,71.2
16125939,FL-70,69.1
48071168,AT-39,94.8
34374494,LF-37,67.7
28565193,MT-15,81.7
33608875,ME-56,69.1
10208626,MV-61,61.6
48121556,EM-50,79.2
30362712,FL-52,92.6
28441567,OE-17,83.3
25073395,AT-46,82.7
42351167,AT-24,90.5
20799973,PH-02,78.4
25897136,MT-17,83.8
23116296,OE-31,74.2
14252047,CE-37,77.6
45752802,MV-52,74.8
46182980,ME-31,80.8
38388400,LW-06,86.7
13060374,EE-54,74.1
43630089,ME-28,74.8
19669677,MT-40,83.9
25960293,EM-04,95.5
44371887,FL-65,79.0
35843998,AT-26,77.2
44515139,MV-34,83.6
30037905,CE-03,80.6
11510639,MT-35,83.4
14190647,EE-73,68.3
25589881,ME-52,72.4
24576618,MT-43,60.8
39363226,ME-63,71.4
27802484,MV-67,86.8
26957296,MT-14,64.4
32830668,EE-24,77.2
33446717,ME-35,87.2
42685484,MV-52,82.2
36843271,DA-13,95.8
12886943,MV-61,56.4
14048059,EE-51,57.3
42198137,EM-21,85.7
29700738,CS-37,74.5
43569058,AS-46,76.8
21196890,MV-32,92.9
10729043,MT-42,82.3
28287255,FL-11,79.6
40225818,CE-50,85.8
17210422,MT-51,57.9
25789499,ME-21,89.7
30938782,MA-14
42521305,EE-56,79.7
37628108,LW-12,81.7
13779014,OE-15,78.9
19622390,MV-53,89.6
32901282,DA-36,79.6
14828342,FL-40,67.1
36908948,DA-11,63.8
32647389,DA-48,70.6
47247990,CS-41,83.7
16125939,AS-53,92.6
44432413,EE-87,53.2
21770451,EM-65,93.1
46197778,EE-88,70.4
20647916,LW-08,76.4
37451425,EE-27,80.9
32793394,FL-37,80.6
45623235,AT-12,92.3
27470370,CE-21,84.8
20987357,EE-76,65.2
36402015,AS-16,71.7
23116296,FL-34,94.5
48242041,MT-40,77.0
42269858,MT-46,67.5
46446594,EE-85,77.9
28125697,AT-41,97.6
28795478,EM-55,75.6
12858695,FL-72,72.6
15757946,AT-50,75.5
38027567,LW-22,83.0
22086966,EE-90,87.4
20040569,ME-13,76.7
26189261,EE-06,98.2
13056289,FL-29,88.3
14177608,DA-64,74.9
47403603,FL-10,75.9
31595297,EE-54,72.7
32525730,MV-44,60.3
14848625,DA-20,86.7
32916196,EE-50,57.6
16159949,AT-26,75.5
24160724,EE-86,73.1
29505075,EE-35,91.5
16795735,EE-38
42765230,EE-54,78.1
31741776,LW-16,79.6
10473108,CS-30,59.0
26282209,LW-20,87.5
25556577,IE-08,63.5
46446594,LF-27,77.7
45452764,AS-49,76.8
12608098,MT-54,82.2
47818603,ME-42,77.9
39701513,EE-22,71.6
39704402,AT-23,96.5
32296559,EE-15,67.3
30155440,MX-01,77.8
44204928,EE-08,77.9
13250910,EE-68,75.9
44795096,DA-59,86.9
39736636,ME-40,83.2
34787443,DA-03,86.8
46333445,MV-75,64.3
33733637,EM-20,85.8
27490471,EE-79,88.1
13318096,ME-09,74.6
11936353,DA-69,75.7
29825392,FL-50,71.3
34436774,DA-10,80.7
29811403,MV-60,92.5
49998255,MV-70,78.3
35581752,MT-16,67.8
48303630,MV-30,82.1
32830668,LW-28,81.9
14094146,MT-47,62.0
41514290,CE-08,64.5
23579664,DA-08,65.3
38404263,ME-42,83.6
39229083,MT-50,88.1
25829626,MV-75,87.2
32468614,AT-50,80.1
37024356,EM-12,70.7
48107258,MV-13,55.5
41325561,PH-13,86.9
27958873,CS-55,76.6
13039795,FL-40,66.5
15867926,HS-14,89.3
42377599,LW-01,86.0
14955704,OE-20,85.7
19469089,DA-46,89.9
10819482,MT-24,69.2
22055167,AT-04,96.9
12968998,MT-32,95.2
46361993,MV-15,80.9
25243403,EE-52,85.1
20388683,AS-05,81.2
39429003,AS-51,69.9
28353640,CS-26,99.8
24044118,HS-20,73.7
42191031,MT-13,82.6
44919742,PH-05,69.1
15397079,MV-83,90.4
23713843,FL-59,62.6
41387714,MA-24,71.9
27786189,FL-76,73.4
41667882,DA-63,61.0
22087542,MT-41,80.7
16435461,MT-26,84.1
48436318,OE-27,73.3
39159359,MT-31,89.6
28628234,MV-61,72.7
34414007,EM-02,86.8
11078939,PH-09,74.0
14465786,MV-75,82.7
11163967,EE-95,64.1
27321866,AT-15,90.3
44831664,MV-79,67.3
16726933,DA-19,59.4
16307038,ME-58,94.0
27905687,FL-37,70.1
13988004,DA-60,91.7
14187884,EE-61,96.2
20879256,PH-03,91.5
15053194,LF-37,83.1
41439707,MV-77,92.2
36551438,CS-37,79.4
18195451,OE-06,66.7
46204511,FL-44,77.2
34576009,EE-12,71.9
26857882,CS-46
31418987,FL-82,76.3
39642066,IE-03,92.5
33552216,FL-73,82.0
44134786,MV-33,66.5
33658078,EM-59,70.9
30934141,FL-15,89.7
46627644,MV-44,91.8
36917632,EE-45,77.5
43393813,MV-22,88.8
26415964,MT-06,87.2
41446691,FL-08,90.2
47539465,FL-06,90.0
26980488,MT-09,91.6
45372308,EM-04,83.3
29058481,DA-21,61.1
18914236,DA-73,86.8
15636949,CS-24,86.4
35209169,ME-23,75.5
39112422,EE-46,76.7
37916601,DA-27,75.8
16505591,DA-26,84.1
22259673,MT-50,84.7
12050653,OE-01,82.3
11936353,AT-11,80.5
28274420,AS-25,63.4
17014175,ME-06,90.4
36968395,MV-09,58.1
32807246,FL-71,89.6
40595717,EE-73,82.8
27943733,CE-41,97.8
48884443,ME-27,71.5
40028191,FL-31,84.7
30037905,CE-44,87.8
18179581,CS-29,87.1
48725063,EM-41,54.5
10286445,CS-60,82.0
37958288,AT-43,92.9
31340665,EE-87,91.8
24284039,CE-03,91.1
22280341,FL-42,74.9
22859660,EE-76,75.1
43219783,MV-61,83.8
11209891,MV-78,58.7
21282359,MV-06,89.4
37852219,ME-64,92.3
36199019,EE-62,75.6
22787939,MV-33,76.6
15402788,CE-26,90.1
35338092,EE-18,78.2
43010579,EM-09,75.0
41590716,EM-52,83.8
41646178,MV-47,75.2
32067084,DA-61,68.2
29299786,CS-57,84.0
39311410,EE-51,81.6
27484095,OE-05,72.6
29824326,CE-39,70.8
19847486,MV-13,66.4
37861619,CS-28,73.7
49949045,DA-70,88.3
29315329,CS-53,71.3
11293449,OE-02,84.0
12531927,ME-33,72.4
13597271,CS-40,52.5
26322247,CS-16,81.7
32793394,MT-53,83.9
11588225,ME-19,96.4
15914353,EE-09,63.9
10062473,AT-19,70.1
37923145,OE-19,83.1
18497924,AS-29,57.6
16157233,EM-27,62.9
20951433,CS-36,72.3
29100670,MT-31,61.1
27145590,LW-21,90.2
23632302,HS-28,73.5
15013985,PH-09,85.4
19210917,FL-52,74.1
40745384,EE-93,94.6
19466755,MT-52,81.1
33230956,ME-50,99.6
44463000,HS-27,63.7
36873848,FL-02,58.3
26031142,ME-05,70.7
27083783,MX-04,72.9
41639657,ME-06,71.9
12858695,CE-27,83.1
40599881,IE-05,80.4
16145224,PH-08,86.0
14052255,EE-67,78.2
32778097,EE-44,68.3
37664416,AS-44,65.4
47889610,LF-33,81.9
19818972,AS-12,88.3
36917086,EM-16,80.7
40065418,CE-48,83.4
24989348,EE-17,90.8
17143974,MT-15,80.4
23175786,MV-01,89.3
33951357,DA-39,73.1
28991351,OE-29,90.2
49132142,HS-10,73.2
30816383,EM-53,85.2
20910326,MT-54,81.8
12777118,LF-30,82.8
47322212,HS-14,87.2
45694144,LW-27,58.2
33557187,FL-41,99.4
32758557,CE-49,98.4
27069079,TL-02,86.9
37744735,EM-03,83.6
13595132,AT-53,92.4
46457622,MT-35,89.1
13704409,ME-48,76.1
26908640,EM-28,76.0
48331943,EE-97,86.6
37764945,CS-44,73.8
46604446,ME-57,79.8
19541593,AS-26,90.1
40242441,FL-77,71.6
34694311,DA-01,65.5
20126677,MV-30,82.2
28561641,MV-36,81.3
22277688,AT-26,85.9
17769774,CE-25,71.2
30955477,LF-42,95.8
41474426,MV-69,99.8
44126986,MT-03,77.7
36809363,FL-96,69.9
20462124,CE-48,97.5
15815761,OE-02,77.7
47634954,MT-13,58.6
39466700,EE-88,85.5
12374786,MT-55,50.2
39622397,MT-47,79.3
11467296,LF-25,71.3
21636476,CS-45,76.7
16326428,IE-06,82.3
30400235,LF-29,74.2
38529870,FL-45,76.2
25674933,HS-06,90.5
48083445,AS-44,72.1
46496004,ME-01,76.2
19752186,ME-39,97.2
25876661,CS-57,68.0
47769278,HS-04,64.6
48182000,LW-12,63.7
24931175,LF-02,84.3
46513397,DA-67,81.2
12798860,CE-50,80.5
15081856,MA-14,90.5
39800333,AS-06,79.3
17486867,AT-21,89.0
20172393,AT-16,65.5
21673627,FL-18,73.0
12859950,MA-15,80.0
43518520,MV-64,67.8
39913794,MA-10,78.7
23325415,EM-29,71.5
36449807,EE-51,79.9
33608875,ME-22,93.2
12126128,MA-24,74.3
34694311,ME-05,62.6
41073241,PH-12,90.5
21785396,CS-23,81.3
37095084,EM-17,67.8
36402015,DA-25,68.6
36455422,FL-92,76.3
37834602,EM-25,73.2
18497924,MV-61,90.6
10615417,CS-40,84.6
34932534,ME-61,80.1
12316715,MA-06,66.5
35890798,MA-11,83.9
44039789,FL-28,72.8
28354594,AT-06,67.5
35304798,HS-31,66.8
10011854,AT-16,68.3
19339531,LF-42,66.6
18794046,HS-16,89.1
49475625,HS-09,86.5
19328838,FL-77,88.7
31442662,MV-77,69.3
33678888,AT-32,67.4
38849974,CE-28,73.0
42269858,MT-15,64.0
39007171,FL-79,92.5
23331279,DA-42,75.9
39335068,CS-43,72.0
47424893,EM-02,95.5
43857075,MV-44,64.6
25089035,EE-62,91.5
24382562,EE-74,88.0
30868850,OE-07,59.6
21146437,MV-26,80.7
30674321,HS-07,87.1
39194516,DA-20,90.0
39683850,EE-33,64.3
45158480,ME-07,76.7
43844685,LF-28,95.5
37570286,LF-06,63.3
11020419,MV-40,66.6
27259166,OE-18,76.3
25934895,MV-50,69.4
45145673,ME-53,76.7
23185029,MV-26,78.9
44163173,FL-45,73.0
45404979,ME-08,84.8
41586441,CE-10,65.1
19626335,LW-24,89.3
36936057,CE-15,92.4
25829626,MT-22,97.7
17346351,MA-22,85.8
33807060,DA-07,73.2
41195920,MV-15,80.6
41993308,FL-74,91.0
16357275,FL-03,86.3
14269126,ME-26,78.9
16912813,TL-02,75.9
48740069,EM-34,86.9
34445344,FL-81,60.4
40084359,FL-19,72.2
15081856,CS-39,96.7
17405083,DA-21,78.9
42999349,DA-63,66.8
41974414,MA-05,76.1
13083895,EE-86,84.2
47792908,LW-19,81.4
40202420,DA-01,78.4
48973988,CE-34,70.8
37268161,LF-38,72.6
29520082,LW-23,87.5
20227639,CS-40,90.8
44164230,EE-10,53.4
44034188,EE-68,73.6
35702535,PH-06,89.8
10384979,ME-35,89.1
32491197,FL-25,81.9
36621575,AT-25,97.0
18668574,EE-70,88.3
17817313,EE-85,87.5
24451578,EE-32,87.4
33189345,LW-10,87.1
28898232,EE-69,90.9
38927240,OE-27,90.6
35972964,MT-29,83.1
32161833,FL-13,90.9
17879864,AT-10,83.5
11491084,ME-09,91.3
35293771,EE-54,67.4
28126855,MV-04,78.9
29508719,EE-19,99.0
40591968,EE-85,79.6
10771349,AS-36,74.4
12660242,MV-38,63.1
46750914,EE-09,85.7
35314114,LW-03,90.9
32342245,EE-88,66.1
24815571,ME-44,78.5
46627644,MX-03,83.1
23427894,EE-53,74.6
17752774,AT-13,88.6
19941555,DA-13,68.1
25911487,EM-64,88.6
16844562,EE-73,71.5
21838729,AS-38,80.9
25924179,FL-47,82.0
36646914,EM-22,76.9
44155958,EM-18,86.5
43535588,AT-05,93.5
44735155,EM-11,77.2
10614160,AT-51,77.9
27965138,FL-94,86.7
19418504,EE-59,93.5
29260090,LF-06,93.4
32490065,EE-66,66.4
15385065,EE-17,79.2
11826179,AT-15,81.4
16198847,MX-03,75.5
26286469,MT-06,84.6
14173263,MV-03,69.1
38615455,ME-47,96.9
26397366,DA-10,91.6
11998625,EE-85,71.0
13318096,MT-38,75.1
46721717,CE-39,97.8
48436318,MV-15,69.3
47149508,DA-73,78.2
17604681,MV-42,68.6
16111632,EE-67,77.0
14084627,CE-50,80.8
46627644,AS-53,66.3
11163967,MV-28,71.8
20435956,AS-52,62.0
13078351,FL-74,87.3
35795419,MT-38,81.5
15731729,CS-62,70.0
48770486,MT-01,66.4
35411506,EE-55,67.9
39051428,CS-27,78.8
44734943,ME-30,77.6
32700972,MV-19,74.0
25358479,PH-14,74.9
17919480,CE-20,81.8
33807060,AT-14,71.8
37598045,AT-13,77.0
17029868,OE-18,92.3
